crop,region,kebele,year,ndvi_peak,ndvi_scale,ndvi_seasonal_avg,ndvi_start_of_season,ndvi_end_of_season,ndvi_integral,ndvi_threshold,ndvi_anomaly_avg
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.5540852594041911,0.5540852594041911,0.4494251922150055,129,,4.943677114365061,0.380357782125726,1.1329689370756537
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,0.5785485451906085,0.5785485451906085,0.40080185734897317,129,,4.408820430838705,0.2886874274173189,-0.9213633959646259
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,0.5499650246149963,0.5499650246149963,0.42675369999540985,145,,4.694290699949509,0.3332631122191368,0.175100053065334
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,0.5172847008331231,0.5172847008331231,0.44977394755112354,129,289.0,5.3972873706134825,0.41746647058823544,1.1477038244559958
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,0.5332212162332749,0.5332212162332749,0.41113082411466356,129,,4.522439065261299,0.3534398100227217,-0.484965307431219
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,0.4769323024488766,0.4769323024488766,0.3837543893874366,129,225.0,4.2212982832618025,0.3289006784902804,-1.6416176674238667
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,0.4912831955314314,0.4912831955314314,0.43528653777742077,145,,4.788151915551628,0.4262892482958846,0.5356118237299676
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,0.4906393555920224,0.4906393555920224,0.4238509078094757,129,,5.086210893713709,0.38736565576874527,0.05245729604154388
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,0.4984697267104268,0.4984697267104268,0.41269096474719424,129,,4.539600612219137,0.3750318921989395,-0.4190494800958813
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,0.4879116384751325,0.4879116384751325,0.37390876443046983,113,,4.112996408735168,0.2918883709921738,-2.0575945999771896
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2023,0.4630780958091391,0.4630780958091391,0.4423690750441809,225,257.0,1.7694763001767235,0.42895715475889934,0.8348485039608912
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2024,0.505475681646049,0.505475681646049,0.4260655976500041,113,,5.11278717180005,0.38971741416309,0.14602777942341735
Sesame,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2025,0.4566616952789701,0.4566616952789701,0.41301901718842055,129,,2.4781141031305234,0.3877937547336532,-0.40518928850678515
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,0.5813803946028518,0.5813803946028518,0.44233037398620795,129,,4.865634113848287,0.3796966089613038,0.8089073907509595
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2011,0.5960023778004075,0.5960023778004075,0.4228121197463434,145,,4.650933317209778,0.3166627876782079,0.16140437706921548
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2012,0.5677936863543791,0.5677936863543791,0.39747449507807214,129,,4.7696939409368655,0.2721383935845214,-0.6791517572357766
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2013,0.5678876909368638,0.5678876909368638,0.44062989955563814,129,,4.846928895112019,0.3805246359470471,0.7524954645125019
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2014,0.5748117133401224,0.5748117133401224,0.38637637520829493,129,,4.250140127291244,0.258470185845214,-1.047323314669689
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2015,0.5805141827902245,0.5805141827902245,0.40597854448250337,145,,4.465763989307537,0.2905369322810591,-0.3970364845173146
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2016,0.577827156313646,0.577827156313646,0.43621100687372727,129,289.0,5.234532082484727,0.3860657545824849,0.6059021117714757
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2017,0.5611773065173119,0.5611773065173119,0.40143945843362355,129,,4.415834042769859,0.3089524236252546,-0.5476171594020393
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2018,0.5103108757637476,0.5103108757637476,0.3992064101555268,145,,4.391270511710795,0.3405240122199593,-0.6216968118133348
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2019,0.5316863365580452,0.5316863365580452,0.44759846070172205,145,,4.923583067718942,0.4067277953156822,0.9836720998644018
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2020,0.550370985234216,0.550370985234216,0.440193407162254,129,,5.2823208859470485,0.3853723884928717,0.7380151663930051
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2021,0.5594708630346235,0.5594708630346235,0.42052518954823187,129,,4.625777085030551,0.3480934190427699,0.0855372335655405
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2022,0.5458202494908353,0.5458202494908353,0.38298147449546394,113,,4.212796219450103,0.2719040784114054,-1.159946524496452
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2023,0.4993382306517312,0.4993382306517312,0.48173694373727105,225,273.0,1.9269477749490842,0.46733578105906337,2.1161899150537224
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2024,0.5471249923625257,0.5471249923625257,0.42113570179904974,113,,5.053628421588597,0.34207232433808554,0.10579050608859285
Sesame,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2025,0.3845474898167006,0.3845474898167006,0.3605183838255263,129,,2.1631103029531578,0.3470511303462322,-1.9051422129348166
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2010,0.4882265242363038,0.4882265242363038,0.40634197764137847,97,,3.2507358211310278,0.3508012389548095,1.4817970846043143
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2011,0.4288186916182783,0.4288186916182783,0.30532829107233017,81,,2.4426263285786414,0.2658810432971472,-0.8424055177618275
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2012,0.365569638348902,0.365569638348902,0.27979883354897755,97,,2.2383906683918204,0.23489605907599084,-1.4298074197032333
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2013,0.4316594988639233,0.4316594988639233,0.36768204091454193,97,,2.9414563273163354,0.3431300549103763,0.5922787569428033
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2014,0.3492456418833629,0.3492456418833629,0.2902796189110106,97,,2.322236951288085,0.26688009987903116,-1.188657240547786
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2015,0.4590338803332491,0.4590338803332491,0.293948589765842,81,,2.351588718126736,0.23355039257763194,-1.1042386642296587
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2016,0.4722005932845241,0.4722005932845241,0.39499750339245143,97,,3.1599800271396115,0.316102834511487,1.2207744700716912
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2017,0.3700946194142894,0.3700946194142894,0.31326603288311033,65,,2.5061282630648827,0.2686539339813178,-0.6597676911449862
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2018,0.4141450422873012,0.4141450422873012,0.32431451298598846,97,,2.5945161038879077,0.2607028559707145,-0.40555554346985956
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2019,0.4509924450896238,0.4509924450896238,0.36686100219325923,97,,2.934888017546074,0.31471001451653624,0.5733876502278314
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2020,0.41562258583691,0.41562258583691,0.36453751104519067,97,,2.9163000883615253,0.3282874154253977,0.5199269326128547
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2021,0.4302650561726837,0.4302650561726837,0.3428846688809644,65,,2.7430773510477153,0.2752839428174703,0.021721255579993305
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2022,0.3497203326180257,0.3497203326180257,0.2993982165961878,81,,2.3951857327695025,0.2819243095177985,-0.9788493502543074
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2024,0.4374468000504924,0.4374468000504924,0.3906011715791467,97,,3.1248093726331736,0.3607308861398636,1.1196201989189063
Soybean,Oromia,7c4a7c99-436a-4ad3-93eb-75a098246cc0,2025,0.4566616952789701,0.4566616952789701,0.3888694367741733,97,,3.1109554941933864,0.3523918410754861,1.0797750781532567
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2010,0.4938864307535646,0.4938864307535646,0.3887068097376549,97,,3.1096544779012394,0.335770425580047,1.8139030668996006
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2011,0.4227958044806519,0.4227958044806519,0.28738148135183306,81,,2.2990518508146645,0.23753854938900207,-0.5619119423687342
Soybean,Oromia,95d4ef76-ac56-4dd8-8bfe-40ddcdeea9d0,2012,0.3551965682281059,0.3551965682281059,0.25713755759928725,97,,2.057100460794298,0.21730667820773936,-1.2710531722580984
